phi_i theta_i phi_o theta_o brdf
60.0 -180.0 -78.0 0.0 0.007373
60.0 -180.0 -76.0 0.0 0.007978
60.0 -180.0 -74.0 0.0 0.008233
60.0 -180.0 -72.0 0.0 0.007732
60.0 -180.0 -70.0 0.0 0.008346
60.0 -180.0 -68.0 0.0 0.00869
60.0 -180.0 -66.0 0.0 0.008505
60.0 -180.0 -54.0 0.0 0.008144
60.0 -180.0 -52.0 0.0 0.00794
60.0 -180.0 -50.0 0.0 0.008104
60.0 -180.0 -48.0 0.0 0.00788
60.0 -180.0 -46.0 0.0 0.007804
60.0 -180.0 -44.0 0.0 0.008143
60.0 -180.0 -42.0 0.0 0.007903
60.0 -180.0 -40.0 0.0 0.007879
60.0 -180.0 -38.0 0.0 0.008004
60.0 -180.0 -36.0 0.0 0.008097
60.0 -180.0 -34.0 0.0 0.00827
60.0 -180.0 -32.0 0.0 0.008165
60.0 -180.0 -30.0 0.0 0.00871
60.0 -180.0 -28.0 0.0 0.008838
60.0 -180.0 -26.0 0.0 0.008946
60.0 -180.0 -24.0 0.0 0.009468
60.0 -180.0 -22.0 0.0 0.009467
60.0 -180.0 -20.0 0.0 0.01011
60.0 -180.0 -18.0 0.0 0.01073
60.0 -180.0 -16.0 0.0 0.01161
60.0 -180.0 -14.0 0.0 0.0126
60.0 -180.0 -12.0 0.0 0.01308
60.0 -180.0 -10.0 0.0 0.0135
60.0 -180.0 -2.0 0.0 0.0151
60.0 -180.0 0.0 0.0 0.01641
60.0 -180.0 2.0 0.0 0.01739
60.0 -180.0 4.0 0.0 0.01831
60.0 -180.0 6.0 0.0 0.01933
60.0 -180.0 8.0 0.0 0.02108
60.0 -180.0 10.0 0.0 0.02266
60.0 -180.0 12.0 0.0 0.02409
60.0 -180.0 14.0 0.0 0.02722
60.0 -180.0 16.0 0.0 0.02977
60.0 -180.0 18.0 0.0 0.03214
60.0 -180.0 20.0 0.0 0.03632
60.0 -180.0 22.0 0.0 0.04208
60.0 -180.0 24.0 0.0 0.04675
60.0 -180.0 26.0 0.0 0.05138
60.0 -180.0 28.0 0.0 0.06026
60.0 -180.0 30.0 0.0 0.06671
60.0 -180.0 32.0 0.0 0.07933
60.0 -180.0 34.0 0.0 0.09885
60.0 -180.0 36.0 0.0 0.1211
60.0 -180.0 38.0 0.0 0.1558
60.0 -180.0 40.0 0.0 0.1986
60.0 -180.0 42.0 0.0 0.2908
60.0 -180.0 44.0 0.0 0.4782
60.0 -180.0 46.0 0.0 1.004
60.0 -180.0 48.0 0.0 2.943
60.0 -180.0 50.0 0.0 4.26
60.0 -180.0 52.0 0.0 7.026
60.0 -180.0 54.0 0.0 18.21
60.0 -180.0 56.0 0.0 35.58
60.0 -180.0 58.0 0.0 466.0
60.0 -180.0 58.5 0.0 903.7
60.0 -180.0 59.0 0.0 4041.0
60.0 -180.0 59.2 0.0 1519.0
60.0 -180.0 59.4 0.0 3726.0
60.0 -180.0 59.6 0.0 3112.0
60.0 -180.0 59.8 0.0 7195.0
60.0 -180.0 60.0 0.0 12980.0
60.0 -180.0 60.2 0.0 8361.0
60.0 -180.0 60.4 0.0 3150.0
60.0 -180.0 60.6 0.0 2843.0
